@gt=  0.000000  | lt=  0.000000 | input=0.4911
@gt=  0.000000  | lt=  0.000000 | input=11.6011
@gt= 64.999359  | lt= 65.000000 | input=8.03
@gt=130.998688  | lt=131.000000 | input=21.24
@gt=130.998688  | lt=131.000000 | input=13.7011
@gt=294.997040  | lt=295.000000 | input=0.4911
@gt=294.997040  | lt=295.000000 | input=0.4911
@gt=21112.788879  | lt=21113.000000 | input=11.6011
@gt=21177.788208  | lt=21178.000000 | input=8.03
@gt=21243.787567  | lt=21244.000000 | input=21.24
@gt=21243.787567  | lt=21244.000000 | input=13.7011
@gt=21407.785919  | lt=21408.000000 | input=0.4911
@gt=21407.785919  | lt=21408.000000 | input=0.4911
@gt=42225.577759  | lt=42226.000000 | input=11.6011
@gt=42290.577087  | lt=42291.000000 | input=8.03
@gt=42356.576447  | lt=42357.000000 | input=21.24
@gt=42356.576447  | lt=42357.000000 | input=13.7011
@gt=42520.574799  | lt=42521.000000 | input=0.4911
@gt=42520.574799  | lt=42521.000000 | input=0.4911
@gt=63338.366608  | lt=63339.000000 | input=11.6011
@gt=63403.365967  | lt=63404.000000 | input=8.03
@gt=63469.365295  | lt=63470.000000 | input=21.24
@gt=63469.365295  | lt=63470.000000 | input=13.7011
@gt=63633.363678  | lt=63634.000000 | input=0.4911
@gt=63633.363678  | lt=63634.000000 | input=0.4911
@gt=84451.155487  | lt=84452.000000 | input=11.6011
@gt=84516.154846  | lt=84517.000000 | input=8.03
@gt=84582.154175  | lt=84583.000000 | input=21.24
@gt=84582.154175  | lt=84583.000000 | input=13.7011
@gt=84746.152527  | lt=84747.000000 | input=0.4911
@gt=84746.152527  | lt=84747.000000 | input=0.4911
@gt=105563.944366  | lt=105565.000000 | input=11.6011
@gt=105628.943726  | lt=105630.000000 | input=8.03
@gt=105694.943054  | lt=105696.000000 | input=21.24
@gt=105694.943054  | lt=105696.000000 | input=13.7011
@gt=105858.941406  | lt=105860.000000 | input=0.4911
@gt=105858.941406  | lt=105860.000000 | input=0.4911
@gt=126676.733246  | lt=126678.000000 | input=11.6011
@gt=126741.732574  | lt=126743.000000 | input=8.03
@gt=126807.731934  | lt=126809.000000 | input=21.24
@gt=126807.731934  | lt=126809.000000 | input=13.7011
@gt=126971.730286  | lt=126973.000000 | input=0.4911
@gt=126971.730286  | lt=126973.000000 | input=0.4911
@gt=147789.522095  | lt=147791.000000 | input=11.6011
@gt=147854.521454  | lt=147856.000000 | input=8.03
@gt=147920.520782  | lt=147922.000000 | input=21.24
@gt=147920.520782  | lt=147922.000000 | input=13.7011
@gt=148084.519165  | lt=148086.000000 | input=0.4911
@gt=148084.519165  | lt=148086.000000 | input=0.4911
@gt=168902.310974  | lt=168904.000000 | input=11.6011
@gt=168967.310333  | lt=168969.000000 | input=8.03
@gt=169033.309662  | lt=169035.000000 | input=21.24
@gt=169033.309662  | lt=169035.000000 | input=13.7011
@gt=169197.308014  | lt=169199.000000 | input=0.4911
@gt=169197.308014  | lt=169199.000000 | input=0.4911
@gt=190015.099854  | lt=190017.000000 | input=11.6011
@gt=190080.099213  | lt=190082.000000 | input=8.03
@gt=190146.098541  | lt=190148.000000 | input=21.24
@gt=190146.098541  | lt=190148.000000 | input=13.7011
@gt=190310.096893  | lt=190312.000000 | input=0.4911
@gt=190310.096893  | lt=190312.000000 | input=0.4911
@gt=211127.888733  | lt=211130.000000 | input=11.6011
@gt=211192.888062  | lt=211195.000000 | input=8.03
@gt=211258.887421  | lt=211261.000000 | input=21.24
@gt=211258.887421  | lt=211261.000000 | input=13.7011
@gt=211422.885773  | lt=211425.000000 | input=0.4911
@gt=211422.885773  | lt=211425.000000 | input=0.4911
@gt=232240.677582  | lt=232243.000000 | input=11.6011
@gt=232305.676941  | lt=232308.000000 | input=8.03
@gt=232371.676270  | lt=232374.000000 | input=21.24
@gt=232371.676270  | lt=232374.000000 | input=13.7011
@gt=232535.674652  | lt=232538.000000 | input=0.4911
@gt=232535.674652  | lt=232538.000000 | input=0.4911
@gt=253353.466461  | lt=253356.000000 | input=11.6011
@gt=253418.465820  | lt=253421.000000 | input=8.03
@gt=253484.465149  | lt=253487.000000 | input=21.24
@gt=253484.465149  | lt=253487.000000 | input=13.7011
@gt=253648.463501  | lt=253651.000000 | input=0.4911
@gt=253648.463501  | lt=253651.000000 | input=0.4911
@gt=274466.255341  | lt=274469.000000 | input=11.6011
@gt=274531.254700  | lt=274534.000000 | input=8.03
@gt=274597.254028  | lt=274600.000000 | input=21.24
@gt=274597.254028  | lt=274600.000000 | input=13.7011
@gt=274761.252380  | lt=274764.000000 | input=0.4911
@gt=274761.252380  | lt=274764.000000 | input=0.4911
@gt=295579.044220  | lt=295582.000000 | input=11.6011
@gt=295644.043549  | lt=295647.000000 | input=8.03
@gt=295710.042908  | lt=295713.000000 | input=21.24
@gt=295710.042908  | lt=295713.000000 | input=13.7011
@gt=295874.041260  | lt=295877.000000 | input=0.4911
@gt=295874.041260  | lt=295877.000000 | input=0.4911
@gt=316691.833069  | lt=316695.000000 | input=11.6011
@gt=316756.832428  | lt=316760.000000 | input=8.03
@gt=316822.831757  | lt=316826.000000 | input=21.24
@gt=316822.831757  | lt=316826.000000 | input=13.7011
@gt=316986.830139  | lt=316990.000000 | input=0.4911
@gt=316986.830139  | lt=316990.000000 | input=0.4911
@gt=337804.621948  | lt=337808.000000 | input=11.6011
@gt=337869.621307  | lt=337873.000000 | input=8.03
@gt=337935.620636  | lt=337939.000000 | input=21.24
@gt=337935.620636  | lt=337939.000000 | input=13.7011
@gt=338099.619019  | lt=338103.000000 | input=0.4911
