{sender = 1, syncTime = 0.0051249904633}
{sender = 2, syncTime = 0.0664998111725}
{sender = 3, syncTime = 0.1278747358322}
{sender = 4, syncTime = 0.189280620575}
{sender = 5, syncTime = 0.2506549406052}
{sender = 6, syncTime = 0.3120309066772}
{sender = 7, syncTime = 0.3734061689377}
{sender = 8, syncTime = 0.4347814702988}
{sender = 9, syncTime = 0.4961577768326}
{sender = 10, syncTime = 0.5575324287415}
{sender = 11, syncTime = 0.6189385595322}
{sender = 12, syncTime = 0.68031366539}
{sender = 13, syncTime = 0.7416881380081}
{sender = 14, syncTime = 0.803063252449}
{sender = 15, syncTime = 0.8644382896423}
{sender = 16, syncTime = 0.9258128871918}
{sender = 17, syncTime = 0.9871883201599}
{sender = 18, syncTime = 1.0485625562668}
{sender = 19, syncTime = 1.1099376115799}
